2014;23;13
2014;24;10
2014;25;8
2014;26;6
2014;27;8
2014;28;11
2014;29;14
2014;30;12
2014;31;14
2014;32;20
2014;33;24
2014;34;43
2014;35;86
2014;36;211
2014;37;718
2014;38;1506
2014;39;1674
2014;40;1351
2014;41;1168
2014;42;1225
2014;43;1119
2014;44;898
2014;45;1037
2014;46;1069
2014;47;1109
2014;48;1028
2014;49;1300
2014;50;1158
2014;51;1087
2014;52;1034
2014;53;1328
2015;1;174
2015;2;135
2015;3;85
2015;4;92
2015;5;91
2015;6;91
2015;7;101
2015;8;139
2015;9;128
2015;10;115
2015;11;107
2015;12;82
2015;13;78
2015;14;90
2015;15;119
2015;16;96
2015;17;126
2015;18;107
2015;19;83
2015;20;99
2015;21;83
2015;22;68
2015;23;59
2015;24;45
2015;25;40
2015;26;54
2015;27;33
2015;28;38
2015;29;37
2015;30;22
2015;31;20
2015;32;22
2015;33;18
2015;34;12
2015;35;22
2015;36;9
2015;37;11
2015;38;14
2015;39;9
2015;40;10
2015;41;11
2015;42;4
2015;43;4
2015;44;6
2015;45;4
2015;46;5
2015;47;3
2015;48;2
2015;49;2
2015;50;3
2015;51;6
2015;52;0
2016;1;455
2016;2;485
2016;3;351
2016;4;216
2016;5;222
2016;6;269
2016;7;222
2016;8;266
2016;9;241
2016;10;234
2016;11;184
2016;12;194
2016;13;364
2016;14;315
2016;15;306
2016;16;292
2016;17;310
2016;18;328
2016;19;299
2016;20;340
2016;21;254
2016;22;256
2016;23;204
2016;24;199
2016;25;160
2016;26;144
2016;27;128
2016;28;106
2016;29;87
2016;30;62
