25,2,0,0.0000,24.1000,31.9100,27.2857
2,0,0,0.0000,23.6400,31.6600,26.6143
4,1,0,0.0000,23.4000,30.6400,26.0857
2,2,0,0.0000,23.2200,30.6700,26.2143
5,0,0,0.0000,23.7100,31.0800,26.8143
3,0,0,0.0000,23.3300,30.9000,26.8714
2,1,0,0.0000,23.1400,31.7000,27.6429
3,0,0,0.0143,24.3800,31.8400,27.2571
1,0,0,0.0000,24.7800,32.0400,27.8714
2,1,0,0.0000,24.9800,31.7600,27.6429
2,0,0,0.0000,25.1700,31.2700,27.3714
2,0,0,0.0000,25.3000,30.9800,27.2429
0,0,0,0.0000,26.0000,31.3800,27.7571
1,0,0,0.3571,25.7400,31.6400,27.7429
0,0,0,0.3714,26.5000,32.0800,28.3143
2,1,0,5.3857,26.1500,31.3800,28.2429
0,1,0,7.5014,25.5300,31.6600,27.9857
2,0,0,2.1871,25.9600,32.3600,28.6286
2,1,0,1.5857,26.6100,31.7700,28.6857
2,1,0,16.6429,24.8000,31.4400,28.5000
2,0,0,15.4729,25.2400,31.1700,27.9571
1,1,0,6.2300,25.0600,30.9300,27.8143
1,0,0,3.2157,26.1500,33.5000,29.2143
1,2,0,0.1714,25.5200,32.4100,29.3286
4,1,0,2.4857,26.6300,33.1100,29.3143
4,1,0,7.5157,25.9600,32.5400,28.7000
5,0,0,1.9429,26.4600,32.9000,29.4000
3,1,0,1.0000,26.1400,31.9800,28.5571
2,0,0,5.4871,25.8300,32.1300,28.6000
3,2,0,10.3014,25.0700,31.8400,28.2429
3,1,0,0.7571,26.1500,32.9400,29.1571
4,0,0,2.2429,26.3800,31.7800,28.3857
5,1,0,24.2000,24.8000,32.1400,28.2000
4,1,0,4.9286,25.3500,31.4700,28.0857
2,0,0,7.2571,24.2700,31.2100,27.7000
0,0,0,0.6286,24.9000,31.9800,28.2571
3,0,0,34.9714,24.7800,32.7700,28.6571
3,0,0,3.2571,25.1500,31.3300,28.4143
3,0,0,0.1571,26.1600,32.2700,28.6400
4,0,0,4.5157,25.1600,31.2300,28.2200
2,1,0,2.3429,25.6600,30.9700,27.9429
11,0,0,9.9571,25.6100,31.1800,28.3143
5,3,0,41.5171,24.5400,30.8300,27.0714
8,3,0,34.9743,23.7400,30.0300,26.7571
7,2,0,7.4857,25.3100,30.7800,27.7429
16,1,0,1.2857,25.6300,32.2600,28.5286
11,4,0,1.7714,25.8600,32.2300,28.2714
15,2,0,0.0000,25.1000,31.9400,27.9857
15,1,0,0.0000,24.4700,31.1000,27.3286
0,0,0,0.0000,24.8000,31.0100,27.5571
2,0,0,0.7429,24.2400,31.2000,27.2429
2,0,0,0.0000,24.6800,31.3600,27.5571
10,1,0,0.0000,23.7600,30.8000,26.9143
11,0,0,0.0000,23.0600,30.1800,26.2286
11,2,0,0.0000,23.6700,30.9800,26.8714
15,5,0,0.0000,23.4800,31.2000,26.6286
14,3,0,0.0000,23.3700,30.3600,26.1286
16,1,0,0.0000,23.2700,30.9800,26.7571
12,1,0,0.0000,24.2100,31.2000,27.1000
14,2,0,0.0571,23.6400,31.8600,26.9857
15,3,0,0.0000,23.8800,30.8800,26.7429
16,1,0,0.0000,23.8200,31.2000,26.8000
12,1,0,0.0000,23.9700,31.0300,26.7286
11,1,0,0.0000,24.3300,31.9100,27.0857
10,1,0,0.0000,24.6000,31.8400,27.1143
15,0,0,0.0000,24.7700,31.8100,27.5286
7,3,0,0.0000,25.2300,32.7100,27.9000
16,2,0,0.0000,25.7000,32.0700,28.1000
7,1,0,0.0000,25.9700,31.1800,27.6857
11,0,0,1.5429,25.9700,31.5800,28.1833
8,0,0,5.2857,26.3300,32.5300,28.4714
5,1,0,0.7143,26.4700,32.2400,28.5143
13,1,0,5.3871,25.5100,31.1800,27.7429
10,4,0,3.6000,25.5600,31.5000,28.2286
11,0,0,1.2714,26.4100,33.0400,29.3143
14,1,0,1.5314,25.7000,32.0600,28.6286
14,1,0,0.6143,26.1400,32.4100,28.9286
13,0,0,0.7143,25.8100,31.4100,28.4000
